Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização
2905818-71.2025.8.25.6327,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.151,26","7.260,50"
4677301-60.2025.8.26.9537,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.297,36","7.313,55"
2130223-97.2025.8.14.0588,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"15.635,00","0,00"
1157075-12.2025.8.02.5425,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"11.407,70","0,00"
3856154-88.2025.8.16.3659,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.787,62","14.597,71"
7336153-17.2025.8.04.8332,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,"4.607,80","4.561,72"
4907807-90.2025.8.21.2049,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.570,36","10.053,55"
7777075-57.2025.8.05.7238,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"23.946,40","0,00"
5462979-94.2025.8.20.1705,RN,Não reconhece operação,Genérico,Êxito,Extinção,"20.652,80","0,00"
3087363-18.2025.8.01.6040,AC,Não reconhece operação,Genérico,Êxito,Improcedência,"17.891,80","0,00"
8067389-33.2025.8.09.6205,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"15.098,36","0,00"
5670220-02.2025.8.16.3360,PR,Não reconhece operação,Golpe,Não Êxito,Procedência,"16.937,61","13.550,09"
4488778-24.2025.8.05.0365,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"16.167,43","0,00"
3285286-56.2025.8.06.1086,CE,Não reconhece operação,Golpe,Êxito,Extinção,"10.554,08","0,00"
3977227-33.2025.8.26.3787,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.005,26","10.243,37"
2193662-31.2025.8.21.5489,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.389,73","7.403,32"
7254509-93.2025.8.13.6622,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.362,89","12.390,48"
4111030-08.2025.8.19.2954,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"12.681,50","0,00"
9474303-36.2025.8.11.5936,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"19.690,80","0,00"
5745565-79.2025.8.08.6679,ES,Não reconhece operação,Golpe,Êxito,Extinção,"7.224,82","0,00"
8265089-30.2025.8.05.0968,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"6.353,89","3.748,80"
7482626-28.2025.8.21.5864,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"13.224,83","0,00"
5722231-63.2025.8.12.6403,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"22.278,00","0,00"
4375572-31.2025.8.03.7754,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"16.037,69","12.669,78"
1126172-80.2025.8.25.1383,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"8.798,85","5.103,33"
4379428-87.2025.8.27.6305,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"11.537,54","0,00"
9052544-12.2025.8.18.3595,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"12.254,54","0,00"
1160202-57.2025.8.07.2189,DF,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"12.945,85","7.379,13"
7534767-25.2025.8.14.5207,PA,Não reconhece operação,Genérico,Êxito,Extinção,"19.878,98","0,00"
8244365-69.2025.8.22.8702,RO,Não reconhece operação,Golpe,Êxito,Extinção,"16.416,73","0,00"
5377838-64.2025.8.22.1960,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"11.445,13","0,00"
4664636-83.2025.8.24.3322,SC,Não reconhece operação,Golpe,Não Êxito,Procedência,"23.790,93","23.077,20"
3317432-66.2025.8.02.3532,AL,Não reconhece operação,Genérico,Êxito,Extinção,"16.474,71","0,00"
1036167-99.2025.8.18.7221,PI,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"16.008,46","12.646,68"
4713499-59.2025.8.01.9891,AC,Não reconhece operação,Golpe,Não Êxito,Procedência,"12.450,00","12.325,50"
7409545-64.2025.8.09.7451,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"17.513,33","0,00"
5190784-97.2025.8.05.0017,BA,Não reconhece operação,Genérico,Êxito,Improcedência,"15.388,24","0,00"
9008957-49.2025.8.10.2303,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"11.906,88","0,00"
3337657-99.2025.8.01.8085,AC,Não reconhece operação,Genérico,Êxito,Extinção,"12.239,57","0,00"
1164748-57.2025.8.09.6973,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,"18.141,93","17.053,41"
6433720-08.2025.8.13.0468,MG,Não reconhece operação,Genérico,Êxito,Improcedência,"12.145,24","0,00"
1004618-46.2025.8.24.2609,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"17.169,92","0,00"
5765658-76.2025.8.02.4628,AL,Não reconhece operação,Genérico,Êxito,Improcedência,"1.899,86","0,00"
4242943-08.2025.8.02.6315,AL,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"17.892,83","9.125,34"
8575019-24.2025.8.10.3536,MA,Não reconhece operação,Golpe,Não Êxito,Procedência,"10.471,11","9.424,00"
8640762-07.2025.8.10.7001,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"26.260,95","0,00"
1642051-91.2025.8.22.5427,RO,Não reconhece operação,Golpe,Êxito,Extinção,"10.071,41","0,00"
6350914-29.2025.8.18.1243,PI,Não reconhece operação,Genérico,Êxito,Improcedência,"15.809,42","0,00"
4337481-67.2025.8.04.1028,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"18.311,42","0,00"
9628720-57.2025.8.05.4407,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.199,86","10.367,91"
6864983-88.2025.8.01.7914,AC,Não reconhece operação,Golpe,Êxito,Extinção,"9.990,50","0,00"
7290593-91.2025.8.15.4383,PB,Não reconhece operação,Genérico,Êxito,Improcedência,"13.188,08","0,00"
2916706-84.2025.8.13.4536,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"10.273,99","0,00"
4378932-14.2025.8.21.6312,RS,Não reconhece operação,Genérico,Êxito,Improcedência,"10.848,63","0,00"
3116427-41.2025.8.15.6493,PB,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"9.181,68","6.151,73"
1767789-13.2025.8.16.5294,PR,Não reconhece operação,Genérico,Êxito,Extinção,"17.469,75","0,00"
2514951-11.2025.8.16.4194,PR,Não reconhece operação,Golpe,Não Êxito,Procedência,"9.174,17","8.165,01"
9221747-80.2025.8.05.4800,BA,Não reconhece operação,Golpe,Não Êxito,Procedência,"13.537,39","13.131,27"
8738419-10.2025.8.11.0050,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.542,64","6.617,06"
5467001-97.2025.8.05.4535,BA,Não reconhece operação,Genérico,Êxito,Improcedência,"14.903,00","0,00"
6600400-15.2025.8.24.1673,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"15.715,20","0,00"
6957934-24.2025.8.04.1883,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"17.809,16","0,00"
9721232-17.2025.8.26.2061,SP,Não reconhece operação,Genérico,Êxito,Extinção,"11.122,41","0,00"
1658392-73.2025.8.06.4400,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"22.810,10","15.738,97"
5429359-99.2025.8.15.9990,PB,Não reconhece operação,Genérico,Êxito,Extinção,"20.973,32","0,00"
1830158-63.2025.8.06.7436,CE,Não reconhece operação,Golpe,Êxito,Improcedência,"13.579,91","0,00"
4888805-39.2025.8.06.6078,CE,Não reconhece operação,Golpe,Êxito,Improcedência,"10.184,91","0,00"
2416629-13.2025.8.22.7481,RO,Não reconhece operação,Genérico,Êxito,Extinção,"16.430,75","0,00"
3617208-89.2025.8.24.5615,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"19.166,41","0,00"
5465173-62.2025.8.04.1962,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.968,33","15.780,55"
2195334-12.2025.8.19.3849,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"8.469,08","0,00"
2491617-60.2025.8.04.4954,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"18.462,68","0,00"
3034155-80.2025.8.17.9947,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"25.280,42","0,00"
9541320-08.2025.8.25.0772,SE,Não reconhece operação,Genérico,Êxito,Improcedência,"15.622,49","0,00"
3756959-00.2025.8.22.8800,RO,Não reconhece operação,Genérico,Êxito,Improcedência,"11.057,81","0,00"
3407007-73.2025.8.27.4003,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"18.755,97","0,00"
5125388-30.2025.8.04.4802,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"19.576,02","19.576,02"
1071988-28.2025.8.10.4869,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"9.980,63","6.687,02"
3943642-26.2025.8.14.7097,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"19.072,64","6.675,42"
3316828-87.2025.8.04.5252,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"9.781,48","8.412,07"
5001851-77.2025.8.05.0092,BA,Não reconhece operação,Genérico,Êxito,Improcedência,"14.343,89","0,00"
3066971-59.2025.8.14.6843,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"11.669,01","0,00"
2725863-21.2025.8.21.8039,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"9.158,12","0,00"
7855743-79.2025.8.22.0178,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"5.812,29","0,00"
9151035-68.2025.8.22.6973,RO,Não reconhece operação,Golpe,Êxito,Extinção,"22.897,28","0,00"
6207314-44.2025.8.15.8205,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"22.352,97","0,00"
9695003-30.2025.8.17.4000,PE,Não reconhece operação,Genérico,Êxito,Improcedência,"11.440,64","0,00"
7709072-23.2025.8.21.1626,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"16.976,14","0,00"
1132224-24.2025.8.04.8647,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.643,18","14.203,88"
4126847-18.2025.8.11.9758,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"9.108,11","0,00"
2945066-43.2025.8.01.2052,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.718,07","5.155,95"
2260050-77.2025.8.08.6911,ES,Não reconhece operação,Genérico,Êxito,Improcedência,"18.194,82","0,00"
9692800-68.2025.8.11.8981,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"10.603,55","0,00"
5694415-80.2025.8.11.5254,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"16.002,53","0,00"
1953090-35.2025.8.07.9022,DF,Não reconhece operação,Genérico,Êxito,Improcedência,"14.008,18","0,00"
9678122-24.2025.8.08.7373,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.824,60","12.007,93"
6107837-76.2025.8.15.8712,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"10.026,15","0,00"
7103613-72.2025.8.14.7270,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"11.089,16","0,00"
6810366-72.2025.8.21.6022,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.690,84","9.847,60"
8551553-69.2025.8.11.2880,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"14.631,29","0,00"
1365943-12.2025.8.02.3358,AL,Não reconhece operação,Genérico,Êxito,Extinção,"17.459,48","0,00"
2154527-14.2025.8.24.6581,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"13.486,85","0,00"
6832328-93.2025.8.12.2275,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"14.628,40","0,00"
4682646-67.2025.8.16.1196,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.825,97","12.048,62"
9878548-45.2025.8.15.2286,PB,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.035,38","7.696,98"
2943656-23.2025.8.11.8748,MT,Não reconhece operação,Genérico,Êxito,Extinção,"15.214,38","0,00"
4404420-82.2025.8.18.4981,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"18.624,12","0,00"
6028943-75.2025.8.14.1091,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"6.455,87","0,00"
8559222-65.2025.8.14.9635,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"10.768,51","0,00"
1188768-00.2025.8.26.7298,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"16.585,31","0,00"
5006133-32.2025.8.21.4921,RS,Não reconhece operação,Golpe,Êxito,Extinção,"16.172,36","0,00"
6528657-15.2025.8.11.5661,MT,Não reconhece operação,Genérico,Êxito,Extinção,"15.811,09","0,00"
2113440-47.2025.8.20.0133,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"10.604,94","0,00"
6993647-65.2025.8.03.0482,AP,Não reconhece operação,Genérico,Êxito,Improcedência,"3.760,07","0,00"
4310482-44.2025.8.14.8080,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.364,16","6.382,02"
8351690-48.2025.8.27.5137,TO,Não reconhece operação,Golpe,Êxito,Extinção,"18.414,88","0,00"
9479205-69.2025.8.08.3845,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"12.344,48","0,00"
3000656-86.2025.8.20.6265,RN,Não reconhece operação,Golpe,Não Êxito,Procedência,"19.353,37","16.643,90"
6542450-85.2025.8.18.3638,PI,Não reconhece operação,Genérico,Êxito,Improcedência,"16.228,90","0,00"
9149773-83.2025.8.04.9862,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"15.874,91","0,00"
7577959-91.2025.8.16.6387,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"3.325,20","2.626,91"
3988343-82.2025.8.22.6232,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"17.862,93","0,00"
2236097-32.2025.8.24.2768,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"20.344,64","0,00"
9840752-04.2025.8.24.1287,SC,Não reconhece operação,Genérico,Êxito,Extinção,"5.283,44","0,00"
1414512-68.2025.8.17.7385,PE,Não reconhece operação,Genérico,Êxito,Improcedência,"10.702,79","0,00"
4395451-63.2025.8.01.7486,AC,Não reconhece operação,Genérico,Êxito,Improcedência,"20.690,80","0,00"
2483936-55.2025.8.02.2108,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,"23.446,92","20.867,76"
2124970-23.2025.8.12.3756,MS,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"12.363,74","4.203,67"
7220045-22.2025.8.21.2131,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"6.454,35","4.130,78"
4447431-88.2025.8.17.0827,PE,Não reconhece operação,Genérico,Êxito,Improcedência,"15.282,82","0,00"
7978624-64.2025.8.21.7206,RS,Não reconhece operação,Genérico,Êxito,Extinção,"14.135,84","0,00"
6669881-35.2025.8.22.7063,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"23.662,85","0,00"
9124076-01.2025.8.04.2683,AM,Não reconhece operação,Genérico,Êxito,Extinção,"16.271,59","0,00"
2482176-17.2025.8.08.2021,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"15.149,63","0,00"
7538477-48.2025.8.07.5362,DF,Não reconhece operação,Golpe,Êxito,Extinção,"9.504,20","0,00"
6671803-68.2025.8.25.3190,SE,Não reconhece operação,Genérico,Êxito,Improcedência,"19.397,51","0,00"
5506424-76.2025.8.27.8880,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"21.822,52","0,00"
5644091-07.2025.8.10.1211,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"8.210,18","0,00"
9551756-73.2025.8.03.8934,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"12.591,60","8.940,04"
3672620-85.2025.8.18.8833,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.256,23","15.394,73"
6501074-82.2025.8.01.4124,AC,Não reconhece operação,Golpe,Êxito,Improcedência,"23.419,56","0,00"
4979196-66.2025.8.24.1263,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"19.157,47","0,00"
1818653-62.2025.8.17.8561,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"16.059,99","0,00"
8190650-67.2025.8.14.2138,PA,Não reconhece operação,Golpe,Êxito,Extinção,"17.399,87","0,00"
1654013-97.2025.8.04.8668,AM,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"19.690,61","14.964,86"
9468353-73.2025.8.04.6122,AM,Não reconhece operação,Genérico,Êxito,Extinção,"15.710,58","0,00"
3176669-16.2025.8.19.9291,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.933,96","8.499,72"
2106146-80.2025.8.05.3987,BA,Não reconhece operação,Genérico,Êxito,Improcedência,"11.048,71","0,00"
1914631-83.2025.8.10.1214,MA,Não reconhece operação,Golpe,Êxito,Extinção,"11.737,65","0,00"
6505734-04.2025.8.22.0898,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.585,78","13.195,90"
4987824-28.2025.8.12.9529,MS,Não reconhece operação,Golpe,Êxito,Extinção,"9.486,40","0,00"
1337700-64.2025.8.26.1050,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"18.027,30","0,00"
7020212-34.2025.8.10.1872,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"17.798,84","0,00"
1325764-41.2025.8.01.1867,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.577,42","5.393,65"
2471966-47.2025.8.05.2271,BA,Não reconhece operação,Golpe,Não Êxito,Procedência,"5.222,29","5.222,29"
4358879-64.2025.8.08.7826,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"21.762,03","0,00"
2829762-62.2025.8.06.6733,CE,Não reconhece operação,Genérico,Êxito,Extinção,"12.144,34","0,00"
5045808-82.2025.8.12.9737,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"6.594,75","0,00"
3789694-13.2025.8.15.6729,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"13.612,54","0,00"
9084560-55.2025.8.13.1494,MG,Não reconhece operação,Genérico,Êxito,Improcedência,"13.321,36","0,00"
1739214-61.2025.8.25.6298,SE,Não reconhece operação,Golpe,Êxito,Extinção,"18.368,45","0,00"
9492954-82.2025.8.22.4151,RO,Não reconhece operação,Genérico,Êxito,Extinção,"23.058,52","0,00"
8975960-62.2025.8.13.7361,MG,Não reconhece operação,Golpe,Êxito,Extinção,"12.006,92","0,00"
8724384-71.2025.8.18.1080,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"10.302,42","0,00"
9307816-75.2025.8.11.0001,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"11.743,82","0,00"
4649567-22.2025.8.02.4286,AL,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.289,37","6.113,11"
9409785-10.2025.8.02.0079,AL,Não reconhece operação,Genérico,Êxito,Improcedência,"17.818,88","0,00"
5690517-96.2025.8.06.4121,CE,Não reconhece operação,Genérico,Êxito,Extinção,"20.368,02","0,00"
9562200-53.2025.8.24.8675,SC,Não reconhece operação,Golpe,Não Êxito,Procedência,"12.845,32","10.661,62"
8278638-67.2025.8.14.6832,PA,Não reconhece operação,Genérico,Êxito,Improcedência,"16.178,87","0,00"
9147721-75.2025.8.12.3110,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"17.174,07","0,00"
4294836-48.2025.8.19.6717,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"18.297,49","0,00"
1492912-22.2025.8.20.2314,RN,Não reconhece operação,Genérico,Êxito,Improcedência,"16.296,27","0,00"
9188686-73.2025.8.19.4684,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"19.965,77","11.380,49"
6763421-55.2025.8.26.6112,SP,Não reconhece operação,Genérico,Êxito,Extinção,"18.854,38","0,00"
3838629-43.2025.8.14.2127,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.022,45","6.008,98"
8120310-52.2025.8.16.7279,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.026,79","6.461,52"
1707543-15.2025.8.01.0476,AC,Não reconhece operação,Golpe,Êxito,Improcedência,"15.448,87","0,00"
4522050-31.2025.8.09.7249,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"9.330,30","5.224,97"
3422646-09.2025.8.13.7344,MG,Não reconhece operação,Genérico,Êxito,Extinção,"9.638,53","0,00"
4657045-66.2025.8.27.1614,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"13.096,10","0,00"
8697387-71.2025.8.19.9105,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"16.451,04","0,00"
4697385-14.2025.8.14.8471,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"20.043,67","0,00"
7445676-83.2025.8.13.5734,MG,Não reconhece operação,Genérico,Êxito,Improcedência,"17.139,96","0,00"
9004567-87.2025.8.17.4684,PE,Não reconhece operação,Golpe,Êxito,Extinção,"15.222,20","0,00"
1366137-25.2025.8.10.8394,MA,Não reconhece operação,Golpe,Êxito,Extinção,"2.769,67","0,00"
3319519-69.2025.8.24.9245,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"6.006,17","0,00"
3811520-11.2025.8.27.3921,TO,Não reconhece operação,Golpe,Não Êxito,Procedência,"22.944,09","21.108,56"
3607840-02.2025.8.25.7125,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"10.034,30","0,00"
9384984-01.2025.8.10.9298,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"8.660,15","0,00"
1422980-82.2025.8.12.6616,MS,Não reconhece operação,Golpe,Êxito,Extinção,"14.957,76","0,00"
1984531-42.2025.8.13.3366,MG,Não reconhece operação,Genérico,Êxito,Improcedência,"15.949,90","0,00"
8113638-36.2025.8.08.5428,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"16.674,23","0,00"
3188599-51.2025.8.26.2727,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"11.045,74","0,00"
6826454-79.2025.8.11.2037,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"22.741,16","16.146,22"
2264907-76.2025.8.03.1677,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.267,98","10.141,18"
9891771-48.2025.8.04.7843,AM,Não reconhece operação,Golpe,Êxito,Extinção,"7.903,57","0,00"
5995372-16.2025.8.12.9495,MS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.881,95","10.005,63"
7856489-58.2025.8.10.5043,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"12.384,99","0,00"
